X,B,CD4T,CD8T,G,Mo,NK,RBC
cg07103201,0.46513,0.076801,0.061101,0.268292,0.312092,0.207967,0.211461
cg07110659,0.705641,0.269647,0.285324,0.43079,0.354325,0.536576,0.329123
cg07114810,0.585217,0.031817,0.064492,0.197992,0.110553,0.091274,0.090734
cg07121312,0.679954,0.126108,0.19317,0.18218,0.184494,0.123481,0.333874
cg07133930,0.242656,0.641119,0.79573,0.052234,0.060939,0.466812,0.363656
cg07136635,0.409735,0.225242,0.252188,0.086345,0.101814,0.246094,0.142939
cg07141504,0.160083,0.499693,0.309368,0.129122,0.123385,0.25712,0.156772
cg07167594,0.481926,0.044899,0.061877,0.191529,0.299841,0.145642,0.101338
cg07188648,0.670362,0.339802,0.267433,0.223796,0.110423,0.356088,0.422757
cg07196571,0.357419,0.593284,0.354257,0.082183,0.072114,0.388993,0.124006
cg07209244,0.033932,0.075482,0.325629,0.336034,0.290377,0.577201,0.139608
cg07239716,0.068665,0.239825,0.427906,0.068041,0.070654,0.066399,0.074485
cg07249939,0.878644,0.307057,0.283378,0.26081,0.265029,0.108234,0.563699
cg07274406,0.039412,0.039516,0.037245,0.035678,0.034683,0.038539,0.197395
cg07282201,0.064314,0.074672,0.072556,0.087407,0.091118,0.07041,0.298629
cg07301329,0.096204,0.111589,0.073258,0.056907,0.067867,0.361656,0.089001
cg07313701,0.484438,0.09305,0.064131,0.160225,0.157931,0.060805,0.229676
cg07330114,0.071755,0.100583,0.160773,0.082256,0.083478,0.360215,0.118236
cg07339236,0.133119,0.164499,0.186801,0.110596,0.094668,0.457228,0.130725
cg07376547,0.055603,0.06835,0.255975,0.055284,0.058348,0.068077,0.057101
cg07411165,0.633329,0.198897,0.156753,0.324688,0.440985,0.263,0.191944
cg07474682,0.257208,0.062474,0.056246,0.051066,0.073435,0.055939,0.07438
cg07474957,0.035176,0.03146,0.032802,0.032085,0.029703,0.032157,0.410046
cg07489413,0.092073,0.321644,0.094325,0.050534,0.049272,0.054742,0.055817
cg07541559,0.094666,0.086852,0.097994,0.084698,0.068346,0.26275,0.08672
cg07543883,0.860943,0.400476,0.113159,0.611066,0.66507,0.150775,0.681775
cg07546943,0.480191,0.635553,0.621834,0.801253,0.26678,0.3725,0.379074
cg07551060,0.60947,0.762694,0.557356,0.262634,0.121769,0.434867,0.508228
cg07616394,0.107699,0.248789,0.242248,0.106279,0.089418,0.572092,0.134754
cg07635227,0.902992,0.148601,0.104641,0.026794,0.033828,0.416365,0.528852
cg07636142,0.082425,0.197044,0.239133,0.047088,0.047823,0.437189,0.135207
cg07638500,0.523159,0.316327,0.316771,0.192939,0.246696,0.366444,0.166671
cg07645228,0.386326,0.079692,0.087077,0.131687,0.123355,0.143624,0.092127
cg07645296,0.241134,0.210437,0.23431,0.125666,0.161769,0.463795,0.23421
cg07669182,0.803375,0.073028,0.087799,0.538789,0.605341,0.376413,0.500067
cg07675477,0.239988,0.279541,0.384701,0.224789,0.238419,0.740551,0.268313
cg07713411,0.24745,0.052586,0.057642,0.053153,0.045401,0.056701,0.07391
cg07737182,0.543729,0.330084,0.247362,0.272929,0.274434,0.23624,0.34102
cg07754940,0.478254,0.172152,0.343543,0.770587,0.335313,0.413476,0.58657
cg07786220,0.854542,0.581302,0.539016,0.214031,0.285481,0.596665,0.618104
cg07807470,0.850525,0.334835,0.196792,0.485197,0.473379,0.497385,0.473511
cg07809589,0.081802,0.094651,0.100552,0.07629,0.076206,0.448562,0.099165
cg07814318,0.743564,0.349975,0.297453,0.402245,0.261256,0.312206,0.450289
cg07832674,0.110997,0.073445,0.106486,0.055326,0.056662,0.066277,0.299669
cg07859439,0.863593,0.087055,0.175524,0.132904,0.21765,0.631724,0.184797
cg07871059,0.379468,0.107117,0.088533,0.213604,0.146003,0.138431,0.161917
cg07881210,0.079477,0.500479,0.256365,0.112263,0.095807,0.164098,0.154463
cg07884764,0.080325,0.138055,0.080403,0.209093,0.260513,0.076233,0.640513
cg07906724,0.048011,0.081009,0.068935,0.044567,0.046508,0.134082,0.321855
cg07915516,0.822453,0.628247,0.612552,0.544423,0.376913,0.123004,0.513859
cg07915896,0.080735,0.058749,0.057154,0.058906,0.058797,0.06186,0.261889
cg07917978,0.819131,0.086882,0.100658,0.635084,0.62937,0.191353,0.598856
cg07922843,0.463451,0.637396,0.620167,0.527749,0.47057,0.825193,0.529741
cg07965041,0.058455,0.053966,0.055629,0.055453,0.054748,0.04976,0.212468
cg07978738,0.100626,0.095922,0.097601,0.248259,0.231329,0.537222,0.246892
cg07998213,0.075335,0.12994,0.334861,0.052972,0.056361,0.060095,0.071731
cg08038033,0.082484,0.054311,0.075936,0.119468,0.214051,0.480467,0.132566
cg08058560,0.697441,0.110294,0.11378,0.070827,0.048139,0.220549,0.470437
cg08080195,0.106665,0.197785,0.092308,0.050976,0.052872,0.052379,0.445694
cg08097359,0.588446,0.04429,0.042506,0.155335,0.225679,0.348328,0.378859
cg08098128,0.091823,0.044024,0.044314,0.040917,0.066385,0.098273,0.567442
cg08129017,0.186502,0.227569,0.240762,0.251482,0.180101,0.622277,0.240066
cg08130572,0.447169,0.060618,0.062256,0.161026,0.154987,0.070528,0.111218
cg08134678,0.871221,0.267344,0.603382,0.254886,0.513183,0.27737,0.606754
cg08151442,0.051888,0.237442,0.350806,0.429096,0.400313,0.583713,0.206323
cg08198193,0.054398,0.082341,0.154026,0.143216,0.179852,0.454128,0.21154
cg08200419,0.508536,0.218947,0.175584,0.236968,0.234291,0.119634,0.306497
cg08243626,0.284264,0.699079,0.850636,0.05803,0.066744,0.531498,0.355787
cg08255481,0.074119,0.308251,0.410699,0.774424,0.601889,0.551124,0.533272
cg08279008,0.033426,0.033691,0.038286,0.036423,0.034781,0.034319,0.261007
cg08287903,0.074505,0.363278,0.339277,0.821468,0.544347,0.383155,0.614137
cg08293303,0.856133,0.663637,0.589466,0.475362,0.501381,0.41168,0.644485
cg08309251,0.823096,0.504618,0.54517,0.63352,0.585976,0.259752,0.556086
cg08313420,0.072887,0.078926,0.073516,0.062819,0.068136,0.216652,0.405439
cg08331345,0.440215,0.057858,0.061313,0.182569,0.21106,0.089607,0.19659
cg08336234,0.685081,0.382177,0.418438,0.506807,0.507968,0.328905,0.362845
cg08339023,0.053024,0.047808,0.049876,0.058158,0.089606,0.048234,0.257861
cg08381620,0.754692,0.400512,0.389036,0.48103,0.581806,0.132485,0.341907
cg08438690,0.720438,0.450028,0.109783,0.50274,0.442349,0.173826,0.440027
cg08446038,0.879065,0.173582,0.3181,0.229398,0.208854,0.643832,0.582537
cg08454507,0.54913,0.176025,0.168376,0.054108,0.059878,0.356393,0.271211
cg08462306,0.057933,0.04186,0.047084,0.043627,0.046322,0.239728,0.074294
cg08463024,0.741742,0.132107,0.149549,0.436008,0.540052,0.297542,0.452205
cg08471846,0.659962,0.469141,0.426514,0.323452,0.376462,0.435614,0.320901
cg08493590,0.145296,0.112705,0.130142,0.202774,0.083108,0.466073,0.210775
cg08523384,0.774436,0.063309,0.070387,0.553222,0.517763,0.339623,0.303667
cg08537367,0.083435,0.267262,0.28713,0.25508,0.21789,0.457903,0.306014
cg08540100,0.053213,0.125035,0.32371,0.068659,0.078167,0.086839,0.056503
cg08553913,0.714493,0.44058,0.296242,0.460225,0.4932,0.363283,0.265443
cg08560387,0.907359,0.095229,0.05361,0.039916,0.048621,0.038307,0.379145
cg08574423,0.02668,0.025118,0.031916,0.175751,0.058446,0.158558,0.526753
cg08614334,0.121935,0.195122,0.18411,0.075406,0.089192,0.173761,0.442028
cg08635931,0.073448,0.080967,0.114258,0.072065,0.069194,0.465413,0.104202
cg08662757,0.250031,0.050048,0.048291,0.045956,0.045647,0.051324,0.071178
cg08677140,0.726695,0.395681,0.429255,0.433341,0.459666,0.498426,0.321686
cg08678044,0.377296,0.36862,0.540692,0.269343,0.322384,0.380038,0.279941
cg08678256,0.047474,0.044183,0.046419,0.044457,0.045128,0.043882,0.237872
cg08682625,0.850196,0.095777,0.102563,0.06811,0.09009,0.461816,0.625728
cg08684879,0.171657,0.193161,0.222932,0.586403,0.400422,0.258354,0.324509
cg08691328,0.109486,0.128428,0.172388,0.093382,0.098333,0.45924,0.143601
cg08698943,0.917939,0.207034,0.388732,0.364635,0.102616,0.409423,0.602941
cg08708961,0.03898,0.03963,0.037977,0.528814,0.058986,0.08524,0.269858
cg08715187,0.088027,0.080069,0.082747,0.085861,0.084594,0.08219,0.441766
cg08722383,0.370843,0.530502,0.69055,0.141451,0.151377,0.336645,0.134508
cg08786207,0.06267,0.067677,0.071476,0.067033,0.071291,0.064789,0.285995
cg08800893,0.082838,0.082208,0.081113,0.086291,0.094626,0.08762,0.261168
cg08802841,0.203723,0.31963,0.355066,0.293022,0.277222,0.693091,0.287545
cg08802944,0.903994,0.569153,0.530174,0.683451,0.672836,0.439893,0.361657
cg08843850,0.928533,0.540887,0.571882,0.061814,0.521957,0.373466,0.649825
cg08864105,0.900054,0.166843,0.198091,0.058163,0.061065,0.088527,0.484186
cg08869273,0.670804,0.098746,0.117121,0.390591,0.394843,0.187796,0.255823
cg08894532,0.372223,0.087337,0.084925,0.076433,0.079705,0.085097,0.132742
cg08939418,0.03851,0.045978,0.047044,0.038338,0.041368,0.221741,0.05188
cg08943045,0.932795,0.434461,0.256027,0.325058,0.535095,0.703584,0.64021
cg08969925,0.885652,0.113071,0.175468,0.596406,0.643974,0.251882,0.598803
cg09012001,0.373024,0.60088,0.439815,0.164723,0.149806,0.196049,0.206557
cg09043214,0.87692,0.386461,0.103624,0.614022,0.692652,0.162631,0.621001
cg09069886,0.885091,0.587271,0.638435,0.06693,0.380083,0.225892,0.623683
cg09076077,0.904036,0.575582,0.522495,0.105467,0.092431,0.073871,0.562733
cg09101151,0.07062,0.259825,0.307935,0.237429,0.20273,0.735441,0.452541
cg09121543,0.374972,0.415284,0.288548,0.897066,0.690329,0.38068,0.636011
cg09121680,0.572432,0.139774,0.171334,0.046757,0.068024,0.06221,0.29813
cg09130535,0.058015,0.052189,0.05752,0.071926,0.074865,0.054376,0.292009
cg09175485,0.755671,0.599515,0.429066,0.156608,0.120752,0.263624,0.417255
cg09182044,0.468696,0.155266,0.235983,0.252992,0.268521,0.274631,0.114888
cg09221159,0.256806,0.064596,0.06822,0.740423,0.464284,0.214688,0.497591
cg09245698,0.668616,0.477166,0.533029,0.631827,0.611807,0.846464,0.590221
cg09258240,0.468059,0.204784,0.174587,0.054173,0.174022,0.175137,0.284162
cg09277749,0.905446,0.683261,0.684298,0.389536,0.129631,0.276836,0.687259
cg09298313,0.8256,0.45588,0.306004,0.288222,0.409114,0.543265,0.625495
cg09300089,0.889461,0.431552,0.265942,0.0562,0.070067,0.076274,0.626551
cg09316306,0.090122,0.187192,0.411205,0.091157,0.084066,0.096811,0.131337
cg09331545,0.051251,0.050854,0.053778,0.051444,0.057006,0.056019,0.224999
cg09335613,0.052056,0.478182,0.177361,0.068506,0.057149,0.145189,0.06543
cg09349128,0.103782,0.568908,0.812483,0.188844,0.080294,0.174633,0.197591
cg09364590,0.616767,0.330535,0.323588,0.367701,0.445779,0.373166,0.408317
cg09429735,0.385428,0.118479,0.197871,0.114156,0.0897,0.115707,0.113335
cg09473207,0.84912,0.292243,0.256019,0.621385,0.641928,0.504368,0.550977
cg09478591,0.730191,0.540715,0.506009,0.332169,0.521087,0.541995,0.542736
cg09499849,0.222766,0.296987,0.538804,0.062505,0.066495,0.301662,0.138799
cg09502619,0.884674,0.524661,0.346437,0.094176,0.514765,0.587279,0.63725
cg09524686,0.208856,0.30119,0.345415,0.13688,0.114676,0.543105,0.231652
cg09543427,0.38612,0.519328,0.724951,0.335041,0.341758,0.326081,0.268501
cg09551145,0.044237,0.040459,0.044467,0.04126,0.04377,0.041714,0.269908
cg09560549,0.854025,0.377511,0.21197,0.437396,0.653148,0.216084,0.58557
cg09599862,0.08053,0.573795,0.773534,0.082434,0.088198,0.477763,0.215404
cg09729012,0.203965,0.163838,0.197272,0.183164,0.250849,0.184287,0.623113
cg09735908,0.069829,0.068659,0.068943,0.060467,0.064895,0.069001,0.285512
cg09747445,0.201101,0.232391,0.149409,0.589865,0.557558,0.862218,0.363706
cg09750084,0.210617,0.136217,0.263774,0.169892,0.187835,0.430292,0.127496
cg09757525,0.055397,0.060001,0.060433,0.315928,0.126788,0.07575,0.088393
cg09763644,0.053003,0.582215,0.395093,0.093966,0.05754,0.096832,0.319282
cg09771595,0.81891,0.607856,0.587994,0.11155,0.409681,0.142906,0.518205
cg09782560,0.201966,0.639222,0.801991,0.072803,0.062084,0.548614,0.257707
cg09801824,0.104378,0.171737,0.22715,0.141285,0.153226,0.492509,0.17041
cg09802688,0.134508,0.034077,0.035823,0.306437,0.261678,0.071634,0.478565
cg09803764,0.636715,0.792569,0.623414,0.146021,0.134592,0.52007,0.476177
cg09849688,0.868447,0.376848,0.273971,0.088702,0.081178,0.244938,0.543771
cg09853702,0.316033,0.067172,0.059198,0.146915,0.098422,0.094259,0.123926
cg09937438,0.04093,0.034108,0.075433,0.04041,0.039623,0.235923,0.062487
cg09940677,0.075609,0.228339,0.239228,0.320101,0.282191,0.250226,0.570893
cg09941713,0.04398,0.052634,0.05057,0.045964,0.055776,0.376264,0.065639
cg09958065,0.596006,0.468379,0.561549,0.453616,0.620457,0.821885,0.596079
cg09977703,0.311464,0.043183,0.044225,0.153967,0.181711,0.05605,0.490723
cg09993145,0.122777,0.044263,0.040309,0.693932,0.063684,0.110791,0.460281
cg10037913,0.27448,0.084082,0.087484,0.110836,0.109582,0.085364,0.103758
cg10052687,0.82592,0.609335,0.599419,0.575468,0.56912,0.626224,0.583278
cg10057264,0.840787,0.091533,0.420389,0.203558,0.291316,0.462199,0.290845
cg10069121,0.480009,0.608386,0.764556,0.117263,0.110012,0.522204,0.288055
cg10077746,0.059621,0.124007,0.297612,0.06141,0.057094,0.063034,0.070334
cg10089963,0.189482,0.547253,0.454889,0.219149,0.218007,0.758591,0.246651
cg10104480,0.492218,0.112724,0.13384,0.260973,0.319384,0.232705,0.291515
cg10106388,0.100821,0.324337,0.121325,0.036512,0.036914,0.036382,0.048932
cg10156217,0.505264,0.064501,0.079163,0.137611,0.172284,0.063819,0.255835
cg10168457,0.834102,0.156459,0.227121,0.102898,0.246546,0.432631,0.338668
cg10296205,0.084567,0.149373,0.205602,0.082731,0.082834,0.569006,0.121363
cg10299128,0.367563,0.504833,0.711286,0.491353,0.470757,0.550616,0.229065
cg10389454,0.926023,0.457974,0.545802,0.539795,0.677795,0.717049,0.670282
cg10467098,0.71101,0.300611,0.209748,0.500042,0.503231,0.524087,0.438944
cg10491452,0.056367,0.187093,0.307722,0.058833,0.059643,0.662024,0.129643
cg10505873,0.044999,0.384932,0.094995,0.04023,0.043434,0.102959,0.048364
cg10542975,0.063024,0.062283,0.063284,0.140565,0.156601,0.072612,0.339743
cg10546888,0.896727,0.130087,0.320081,0.618507,0.713624,0.154466,0.315637
cg10577216,0.164615,0.18529,0.188586,0.232208,0.255566,0.183662,0.467552
cg10578938,0.230512,0.050532,0.051085,0.208534,0.713231,0.466456,0.483816
cg10601625,0.101883,0.165014,0.159383,0.086459,0.08539,0.092914,0.356667
cg10616974,0.263753,0.077536,0.089245,0.106403,0.092454,0.077292,0.418883
cg10671066,0.621621,0.075373,0.088387,0.167813,0.444892,0.088391,0.120018
cg10689175,0.104308,0.179872,0.335531,0.085875,0.072106,0.160055,0.110244
cg10690747,0.86962,0.054738,0.052627,0.533667,0.655837,0.226021,0.231094
cg10699171,0.253627,0.092386,0.10349,0.903735,0.630431,0.211687,0.66898
cg10723617,0.868339,0.690604,0.680356,0.421057,0.561145,0.41185,0.627731
cg10728351,0.810688,0.439062,0.364822,0.444725,0.302484,0.138272,0.227285
cg10732871,0.861146,0.709763,0.583144,0.643466,0.547966,0.461176,0.574281
cg10753966,0.118117,0.124801,0.133956,0.335977,0.312981,0.377028,0.562158
cg10765877,0.061391,0.70269,0.183225,0.072534,0.080017,0.076397,0.502536
cg10768932,0.049266,0.049474,0.050888,0.063143,0.42169,0.058354,0.691114
cg10879992,0.128866,0.153006,0.160358,0.23002,0.137779,0.588176,0.172599
cg10908953,0.758152,0.432058,0.397259,0.158474,0.340014,0.502312,0.46802
cg10922280,0.177583,0.134856,0.282675,0.378976,0.404736,0.673636,0.384383
cg10932907,0.810096,0.236917,0.333219,0.180227,0.484081,0.610269,0.488662
cg10949007,0.39902,0.148235,0.20014,0.046754,0.054606,0.067138,0.176008
cg10970124,0.513768,0.13596,0.179784,0.204112,0.187379,0.295635,0.282803
cg11088051,0.704011,0.107863,0.419263,0.39489,0.467355,0.460514,0.195435
cg11095027,0.841978,0.539779,0.548282,0.579879,0.6358,0.241038,0.516985
cg11115622,0.325212,0.290757,0.353542,0.078589,0.168211,0.552743,0.232932
cg11120154,0.898282,0.716236,0.709365,0.15717,0.32685,0.318341,0.613905
cg11122255,0.52053,0.170367,0.166509,0.133241,0.110003,0.212153,0.216312
cg11128457,0.777592,0.328518,0.489167,0.481093,0.597277,0.449691,0.220599
cg11176694,0.04165,0.385974,0.123639,0.074597,0.077875,0.047246,0.063818
cg11230435,0.29752,0.559543,0.727407,0.063735,0.106741,0.045842,0.195863
cg11268190,0.854655,0.465942,0.201301,0.165203,0.201152,0.172925,0.574335
cg11269166,0.136201,0.529901,0.687289,0.494904,0.238729,0.321506,0.362393
cg11332928,0.075078,0.061517,0.060822,0.05001,0.057368,0.22754,0.071341
cg11341610,0.910175,0.554776,0.503665,0.057658,0.130794,0.617217,0.515721
cg11358945,0.083075,0.11456,0.101206,0.081157,0.081418,0.344236,0.117546
cg11464160,0.858396,0.375822,0.234412,0.163782,0.39402,0.551707,0.314092
cg11525052,0.257691,0.537956,0.265653,0.063672,0.074274,0.088138,0.125264
cg11536586,0.787795,0.490617,0.307623,0.602101,0.626886,0.634037,0.484948
cg11549417,0.038271,0.082596,0.049459,0.061226,0.042866,0.03594,0.282093
cg11555067,0.825093,0.18174,0.192998,0.331082,0.613292,0.153485,0.540264
cg11566244,0.081727,0.26577,0.505861,0.075941,0.085834,0.229628,0.105902
cg11658419,0.138543,0.213292,0.40154,0.117207,0.108601,0.250783,0.112847
cg11671265,0.057087,0.062777,0.055735,0.06271,0.062797,0.050555,0.227577
cg11733245,0.062121,0.052344,0.056574,0.10816,0.072114,0.100753,0.305169
cg11739633,0.074746,0.206545,0.192616,0.201265,0.097244,0.380348,0.209669
cg11741335,0.562011,0.245708,0.39063,0.373089,0.406756,0.219965,0.140571
cg11748354,0.110687,0.050371,0.064019,0.100039,0.06381,0.119355,0.407096
cg11791526,0.057449,0.062868,0.054908,0.087942,0.094048,0.061291,0.269783
cg11821200,0.879497,0.318362,0.286235,0.72152,0.709086,0.442656,0.524497
cg11826008,0.82418,0.060298,0.061846,0.382157,0.655027,0.10572,0.564234
cg11828621,0.143195,0.15123,0.17632,0.127057,0.141053,0.363394,0.126113
cg11832281,0.526496,0.130201,0.18638,0.049984,0.062428,0.054362,0.315471
cg11859584,0.155296,0.576244,0.421657,0.106645,0.155227,0.222949,0.137629
cg11883418,0.174662,0.344157,0.565364,0.1522,0.09791,0.395733,0.108771
cg11887996,0.507788,0.131502,0.154596,0.247131,0.266232,0.32992,0.341025
cg11898431,0.042214,0.389659,0.401736,0.729201,0.502988,0.423758,0.527488
cg11930955,0.439232,0.166515,0.383776,0.480678,0.398225,0.714353,0.347852
cg11940177,0.941657,0.73099,0.720853,0.222348,0.479357,0.73221,0.728416
cg11958644,0.036764,0.109919,0.148021,0.04449,0.042583,0.245652,0.575929
cg11986760,0.918451,0.684075,0.733121,0.766248,0.086174,0.510964,0.609859
cg11996860,0.236981,0.885801,0.68337,0.302313,0.261669,0.719725,0.426589
cg12004276,0.04167,0.222031,0.114037,0.033557,0.041175,0.431941,0.087514
cg12054453,0.633025,0.367517,0.406369,0.321871,0.184779,0.269004,0.265642
cg12080909,0.199275,0.245869,0.164254,0.127626,0.135872,0.447914,0.151935
cg12112870,0.141372,0.54065,0.438971,0.754979,0.198076,0.203261,0.543037
cg12114888,0.194981,0.155116,0.149678,0.204895,0.176343,0.442738,0.152613
cg12123019,0.071821,0.072199,0.075107,0.159163,0.080688,0.077997,0.45557
cg12229841,0.700607,0.213371,0.293711,0.324152,0.360675,0.330373,0.504466
cg12230983,0.347569,0.130452,0.144949,0.077778,0.074674,0.064433,0.139925
cg12271487,0.542815,0.611829,0.844041,0.603749,0.54534,0.661507,0.574454
cg12273325,0.070748,0.100372,0.223203,0.173516,0.064842,0.741674,0.272742
cg12303610,0.861206,0.685815,0.541838,0.44914,0.505632,0.396294,0.610006
cg12400350,0.861124,0.239993,0.278967,0.39708,0.573536,0.689593,0.445745
cg12403778,0.077815,0.152278,0.384188,0.067317,0.072868,0.18655,0.075691
cg12415479,0.052738,0.151768,0.247018,0.042185,0.060704,0.49823,0.102991
cg12432980,0.701658,0.13654,0.184811,0.387711,0.499474,0.535778,0.329098
cg12441066,0.308871,0.33241,0.297101,0.295167,0.204577,0.601941,0.159353
cg12459502,0.802045,0.314744,0.315799,0.284873,0.085486,0.308235,0.636703
cg12487088,0.203415,0.369183,0.378721,0.179814,0.137942,0.56703,0.19574
cg12498580,0.5684,0.067619,0.124676,0.251143,0.076654,0.19214,0.156687
cg12527995,0.05594,0.05356,0.054296,0.056642,0.060614,0.05715,0.390238
cg12589431,0.101065,0.38033,0.56704,0.080978,0.082418,0.326141,0.152387
cg12635790,0.073496,0.114319,0.242294,0.647486,0.339598,0.155617,0.379956
cg12643083,0.495096,0.353082,0.366677,0.105306,0.118731,0.748762,0.345038
cg12655137,0.077561,0.074226,0.083876,0.210298,0.2107,0.087123,0.385202
cg12655542,0.659727,0.452846,0.456879,0.384819,0.281095,0.333496,0.486008
cg12691004,0.639767,0.290686,0.478691,0.059087,0.071389,0.42139,0.261298
cg12699156,0.838939,0.065641,0.226376,0.552814,0.674632,0.411863,0.266038
cg12785694,0.879242,0.574586,0.683858,0.095475,0.232573,0.625777,0.449277
cg12793123,0.049567,0.049561,0.045678,0.054658,0.076285,0.067024,0.316403
cg12808596,0.917705,0.411094,0.425864,0.526436,0.445494,0.716538,0.763126
cg12810503,0.481084,0.047825,0.046545,0.193076,0.067076,0.058604,0.097314
cg12831034,0.039882,0.418488,0.572752,0.043783,0.043633,0.283479,0.076444
cg12864389,0.163643,0.285049,0.224523,0.125526,0.113118,0.521361,0.136824
cg12869659,0.075268,0.101432,0.127535,0.090551,0.10485,0.482434,0.143418
cg12870750,0.797103,0.212997,0.226164,0.234662,0.503873,0.314626,0.549666
cg12871687,0.228039,0.23904,0.258029,0.152377,0.176595,0.484963,0.263115
cg12880685,0.682398,0.318892,0.358716,0.393755,0.44064,0.52321,0.514883
cg12895631,0.39938,0.218943,0.209902,0.190986,0.217244,0.176236,0.116305
cg12931554,0.384432,0.047454,0.066095,0.06667,0.118243,0.134665,0.096684
cg12940993,0.9021,0.444648,0.631845,0.647024,0.196751,0.713742,0.336752
cg12978253,0.287814,0.295835,0.347821,0.133702,0.136008,0.506086,0.272869
cg12983285,0.385597,0.143554,0.420631,0.237105,0.083825,0.677822,0.338072
cg12991306,0.088796,0.641489,0.625478,0.805805,0.118142,0.494983,0.593915
cg13015710,0.12676,0.117506,0.123567,0.150971,0.126702,0.149251,0.35242
cg13039082,0.682201,0.352501,0.400821,0.395249,0.461742,0.394215,0.2847
cg13041597,0.111306,0.079713,0.29632,0.054778,0.045607,0.137523,0.076616
cg13085553,0.956247,0.629211,0.769242,0.089341,0.619546,0.289109,0.776702
cg13088432,0.92968,0.653456,0.479445,0.139139,0.623202,0.671915,0.7595
cg13106758,0.26597,0.169247,0.254831,0.099877,0.099129,0.517345,0.126664
cg13127825,0.931204,0.596324,0.569008,0.569463,0.60082,0.371828,0.704745
cg13163919,0.115013,0.087449,0.101835,0.140829,0.112461,0.483553,0.174135
cg13165140,0.052066,0.049991,0.051057,0.05184,0.057911,0.048868,0.299467
cg13186130,0.216678,0.460886,0.233303,0.066848,0.08694,0.081183,0.113219
cg13247398,0.128028,0.306859,0.509948,0.078548,0.084031,0.097955,0.133778
cg13265740,0.130639,0.135253,0.166663,0.061808,0.069664,0.436537,0.166058
cg13290370,0.050094,0.061127,0.0881,0.041329,0.046296,0.263518,0.06531
cg13300689,0.441185,0.067709,0.054558,0.195018,0.148272,0.284536,0.204313
cg13311440,0.165415,0.084714,0.074965,0.137182,0.162847,0.085978,0.35306
cg13318771,0.099134,0.121296,0.129991,0.130242,0.085498,0.539886,0.155169
cg13368983,0.794236,0.475829,0.641365,0.278579,0.083111,0.449605,0.38476
cg13378013,0.168729,0.219497,0.404379,0.05013,0.064731,0.121153,0.134527
cg13380995,0.649163,0.486384,0.490243,0.351666,0.398722,0.379628,0.416669
cg13395086,0.0469,0.096114,0.071417,0.048106,0.051878,0.051783,0.250156
cg13408344,0.155423,0.082943,0.068688,0.447101,0.292947,0.17614,0.663523
cg13408655,0.817958,0.460216,0.553947,0.065907,0.202605,0.260882,0.54541
cg13437525,0.038242,0.225102,0.045333,0.038431,0.039154,0.039222,0.041322
cg13475583,0.027678,0.217776,0.374936,0.028202,0.027859,0.089705,0.041517
cg13482308,0.255299,0.083482,0.083407,0.026662,0.026693,0.03209,0.037281
cg13485718,0.317806,0.600832,0.779178,0.485867,0.497817,0.534882,0.199663
cg13492227,0.375503,0.216637,0.235887,0.138034,0.171981,0.562321,0.278284
cg13518366,0.797321,0.644994,0.616457,0.628245,0.584169,0.168022,0.283217
cg13558774,0.12742,0.060832,0.056298,0.059842,0.05995,0.05464,0.286571
cg13559306,0.594875,0.26613,0.202682,0.103518,0.075398,0.241932,0.387498
cg13581922,0.069294,0.095693,0.082594,0.076576,0.07837,0.078183,0.258927
cg13597051,0.061017,0.101052,0.164957,0.061547,0.060631,0.351629,0.199164
cg13618979,0.225242,0.233831,0.452122,0.081311,0.073662,0.174169,0.097392
cg13620631,0.438151,0.280155,0.275999,0.164664,0.2206,0.207805,0.276092
cg13639901,0.18784,0.116945,0.102471,0.175608,0.127283,0.108114,0.600522
cg13650938,0.423658,0.093949,0.095666,0.03344,0.043295,0.140358,0.067957
cg13660174,0.749674,0.041879,0.04222,0.296132,0.367454,0.150879,0.224891
cg13693517,0.776334,0.162568,0.130061,0.579735,0.592896,0.130088,0.621814
cg13708645,0.167216,0.275972,0.141504,0.241573,0.112913,0.436767,0.201102
cg13709271,0.483148,0.28955,0.305241,0.239523,0.112707,0.296646,0.111483
cg13719443,0.429627,0.224192,0.238479,0.368814,0.336482,0.674279,0.377694
cg13747899,0.859796,0.642648,0.649428,0.224052,0.400506,0.636053,0.604567
cg13770399,0.660494,0.100854,0.217863,0.052982,0.096747,0.480453,0.420278
cg13780718,0.709333,0.230688,0.143839,0.266581,0.068146,0.499311,0.261272
cg13782615,0.031529,0.16181,0.064642,0.038894,0.03836,0.405796,0.134587
cg13789303,0.057958,0.059638,0.053758,0.057639,0.054639,0.328114,0.079488
cg13877482,0.255354,0.254088,0.26854,0.252783,0.258784,0.434977,0.212592
cg13904214,0.336671,0.142514,0.164069,0.331834,0.28923,0.201976,0.593127
cg13910860,0.296518,0.037797,0.038085,0.036537,0.034129,0.040935,0.054969
cg13962347,0.042519,0.044119,0.038766,0.151718,0.064312,0.049127,0.507259
cg13984928,0.974104,0.7875,0.395886,0.227277,0.537695,0.540892,0.795768
cg13991834,0.870685,0.243033,0.36158,0.075854,0.087458,0.607014,0.149864
cg14004161,0.267208,0.465493,0.250443,0.064824,0.05456,0.290807,0.104326
cg14018471,0.804656,0.14229,0.166833,0.191319,0.292482,0.463,0.21058
cg14051770,0.866149,0.674681,0.586346,0.635958,0.693771,0.182417,0.515653
